"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","diff_pct"
"ZAN",5.7731026822107e-05,-0.656679274398091,0.732,0.817,1,-0.085
"NTN1",6.11085395586385e-05,-0.52577992960671,0.986,0.98,1,0.006
"SLC13A3",6.31498330197065e-05,-0.517828058148743,0.906,0.95,1,-0.0439999999999999
"SIRT2",6.35404068560262e-05,-0.280876971356096,0.428,0.612,1,-0.184
"LDLRAD4",6.48714936582948e-05,-0.633856133122866,0.986,0.992,1,-0.006
"CCDC187",6.72534035456793e-05,-1.17770209580703,0.362,0.495,1,-0.133
"ZBTB7C",7.33910113553983e-05,-0.416907190867428,0.993,0.99,1,0.003
"HSP90B1",7.40581308516193e-05,-0.939138500136676,0.645,0.729,1,-0.084
"NXN",7.58727880934828e-05,-0.487118606812942,0.971,0.971,1,0
"DOCK5",7.71784894988642e-05,-0.432331021438509,1,0.993,1,0.00700000000000001
"PRMT2",7.73146871678313e-05,-1.34309375069889,0.551,0.694,1,-0.143
"DYNLL1",7.90615574272153e-05,-0.570887439364964,0.688,0.761,1,-0.0730000000000001
"POLR2F",8.05800588156145e-05,-0.786322954997565,0.862,0.879,1,-0.017
"DGKD",8.20116220788695e-05,-0.590263770544333,0.913,0.927,1,-0.014
"FAM102A",8.31637299001832e-05,-2.64923002394333,0.464,0.573,1,-0.109
"NOM1",8.45324071087197e-05,-1.42046228507517,0.442,0.574,1,-0.132
"PKP4",8.47987754249809e-05,-0.938676422684224,0.986,0.987,1,-0.001
"IQSEC1",8.93411327527559e-05,-0.657640985697487,0.986,0.972,1,0.014
"PLIN3",9.49165893870941e-05,-0.958751032868628,0.616,0.713,1,-0.097
"BX072566.1",0.000100031415542229,1.28279688397568,0.283,0.16,1,0.123
"TANGO2",0.000101584625599455,-1.19932603044531,0.486,0.636,1,-0.15
"BIN1",0.000108647326456803,-2.80584069168955,0.572,0.629,1,-0.057
"AGAP1",0.000111095397339104,-0.261562064167927,1,0.998,1,0.002
"USP13",0.000115163642312757,-0.471403183800781,0.957,0.967,1,-0.01
"TULP4",0.000116959649175401,-0.729421827299918,0.935,0.969,1,-0.0339999999999999
"SHANK2",0.000121763383068916,-0.452256240714091,0.986,0.996,1,-0.01
"FNTA",0.00012443912358432,-2.80127338383919,0.486,0.59,1,-0.104
"TIAM1",0.000128453473399917,-0.391934695930612,0.993,0.996,1,-0.003
"RAB11FIP4",0.000128785756467879,-0.618881926013537,0.855,0.906,1,-0.051
"OSCP1",0.000133533605969624,-0.413461447604805,0.732,0.816,1,-0.084
"EEF2K",0.000133906145110459,-0.742262966118539,0.877,0.923,1,-0.046
"XYLT1",0.000136588898186806,-0.256155094317738,1,0.994,1,0.006
"NINL",0.000138180005801244,-0.745223918834055,0.913,0.925,1,-0.012
"KDM4B",0.000140976065500336,-0.4755969446223,0.819,0.879,1,-0.06
"GRAMD1A",0.000146680558706246,-1.54019598039598,0.304,0.442,1,-0.138
"GNG7",0.000146920731687676,-0.659196609038998,0.964,0.974,1,-0.01
"IRAK1BP1",0.000148400324453707,-0.716853898859187,0.92,0.921,1,-0.001
"IL4R",0.000148533254904558,-0.67014858592474,0.71,0.787,1,-0.0770000000000001
"ARHGEF10L",0.00015097147453933,-0.781382419481178,0.884,0.893,1,-0.00900000000000001
"SH2B1",0.00015141858890576,-1.3965824047349,0.493,0.605,1,-0.112
"AC010422.6",0.000153031199541346,-0.845323828553407,0.63,0.72,1,-0.09
"SPTBN1",0.000159342253278499,-0.751713638631106,0.986,0.985,1,0.001
"ZFYVE26",0.000161027297645785,-0.577817062757552,0.899,0.93,1,-0.031
"DAPK2",0.000161251428092914,-0.600147697926866,0.949,0.953,1,-0.004
"KIF13A",0.000162201891989035,-0.44791095343954,1,0.994,1,0.006
"PXK",0.000165380275504141,-0.475555402194342,0.957,0.978,1,-0.021
"LRRFIP2",0.000167026838554368,-0.64688397457017,0.971,0.98,1,-0.00900000000000001
"GTSE1",0.000167488153128087,-0.92113031467787,0.587,0.662,1,-0.0750000000000001
"SIPA1L3",0.000170415573464647,-0.474089725750904,0.957,0.989,1,-0.032
"SCUBE1",0.000170595473287761,0.585388733565588,0.833,0.842,1,-0.00900000000000001
"LDB3",0.00017305034563658,-0.972589274606436,0.761,0.824,1,-0.063
"MICAL2",0.000175746262481542,-0.314850540977995,0.993,0.976,1,0.017
"CELF4",0.000180680463887452,-0.707273313359245,0.942,0.951,1,-0.00900000000000001
"BIRC6",0.000181920008134406,-0.394206985499572,1,0.993,1,0.00700000000000001
"ATP6V1D",0.00018656334391206,-2.35088832999792,0.746,0.754,1,-0.00800000000000001
"TTC7B",0.000188021818036692,-0.424045361382786,0.986,0.978,1,0.00800000000000001
"CDH4",0.000190683374087994,-0.48113069376623,0.993,0.989,1,0.004
"FAN1",0.000192066591121908,-0.941040336354083,0.572,0.696,1,-0.124
"LAMTOR4",0.00019703857915951,-0.444542455566679,0.217,0.369,1,-0.152
"PLEKHH1",0.000201617829549576,-0.74190143914018,0.855,0.904,1,-0.049
"COX4I1",0.000202012413897636,-5.94065737711257,0.341,0.469,1,-0.128
"GNA11",0.000203518809017807,-1.61977270568641,0.196,0.346,1,-0.15
"CD4",0.000204036878960612,-1.05575952951474,0.63,0.727,1,-0.097
"CCDC36",0.000208626764825075,-0.256468294452474,0.87,0.916,1,-0.046
"FGD4",0.000217670733846559,-0.448230305156291,0.978,0.992,1,-0.014
