"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","diff_pct"
"FTH1",2.22247463131949e-173,2.40296225487929,1,0.479,4.40116651240198e-169,0.521
"PALD1",9.77311036920219e-44,-1.84386243677537,0.718,0.828,1.93536904641311e-39,-0.11
"NXN",5.87623345494208e-32,-0.776455475854012,0.955,0.972,1.16367051108218e-27,-0.017
"RAP1GAP2",6.14987367028475e-31,-0.759168137663554,0.976,0.979,1.21785948292649e-26,-0.003
"CACNA1A",4.71560254631057e-30,-0.443473486246418,0.997,0.996,9.33830772245881e-26,0.001
"DLGAP4",1.88487763397536e-28,-0.824147058114189,0.941,0.959,3.73262317856141e-24,-0.018
"ABCC1",4.04189104183465e-28,-0.526716219436256,0.979,0.98,8.00415683014516e-24,-0.001
"TMEM219",3.64025017169762e-27,-2.84622721544067,0.699,0.807,7.20878741501279e-23,-0.108
"TACC2",1.83917887827527e-26,-0.515573390577042,0.981,0.985,3.64212593264852e-22,-0.004
"CFAP77",3.04455636513414e-26,-0.689788157075458,0.936,0.955,6.02913496987513e-22,-0.0189999999999999
"SDK2",1.39469330350906e-25,-0.7537251176479,0.96,0.967,2.76191114893899e-21,-0.00700000000000001
"ABR",5.02119010367865e-25,-0.69501342963902,0.926,0.958,9.94346276231483e-21,-0.0319999999999999
"TANGO6",6.67314604812903e-25,-0.380799634891505,0.992,0.994,1.32148311191099e-20,-0.002
"CDH23",2.04291242201444e-24,-0.640970942499415,0.973,0.972,4.04557946931521e-20,0.001
"CPAMD8",2.89497047174596e-24,-0.787207076743929,0.918,0.946,5.73291002519853e-20,-0.0279999999999999
"NTN1",5.65673436052602e-24,-0.497655786954329,0.989,0.98,1.12020310541497e-19,0.00900000000000001
"KIAA1671",1.53029592898636e-23,-0.547646885278656,0.968,0.979,3.03044502817169e-19,-0.011
"GSE1",1.71226709297651e-23,-0.837751253272846,0.957,0.961,3.39080252422139e-19,-0.004
"SPTBN4",1.83256664134808e-23,-0.854540617000403,0.867,0.916,3.62903171986161e-19,-0.049
"COL26A1",2.37829041900646e-23,-0.725992591971057,0.971,0.974,4.70972851675849e-19,-0.003
"CUX1",2.51843815368564e-23,-0.358697275666476,0.995,0.996,4.98726307574367e-19,-0.001
"PLCG2",3.60817189099646e-23,-0.570150090292148,0.979,0.98,7.14526279574029e-19,-0.001
"STX8",4.06086333605613e-23,-0.330521053499562,0.997,0.996,8.04172766439196e-19,0.001
"SIPA1L3",9.1793848479695e-23,-0.568046904247559,0.984,0.989,1.8177935814434e-18,-0.005
"CCND3",1.62413937903494e-22,-0.643692955023645,0.947,0.971,3.21628321230288e-18,-0.024
"SHANK2",1.97990962952129e-22,-0.537134645305557,0.992,0.996,3.92081503934101e-18,-0.004
"CDH4",4.31359108283254e-22,-0.644217901405477,0.984,0.989,8.54220442133328e-18,-0.005
"GRK5",4.73372065631834e-22,-0.680202160204767,0.971,0.973,9.37418701570721e-18,-0.002
"RYR1",5.31019348826401e-22,-0.886045475679943,0.936,0.932,1.05157761648092e-17,0.004
"PTPRN2",5.42024448948281e-22,-0.389463948955129,1,0.997,1.07337101625228e-17,0.003
"POU2F2",7.60508297116094e-22,-0.860208501375584,0.87,0.902,1.506034580779e-17,-0.032
"DNAH2",1.15231192036324e-21,-0.742413277978168,0.92,0.949,2.28192329589533e-17,-0.0289999999999999
"RPTOR",1.58919886865564e-21,-0.457631827151118,0.992,0.989,3.14709051959876e-17,0.003
"OLFM2",2.28757362227041e-21,-0.589012732557216,0.891,0.923,4.5300820441821e-17,-0.032
"SEPT9",3.33210137019561e-21,-0.989713199450128,0.904,0.916,6.59856034339836e-17,-0.012
"SNX8",3.39197823652436e-21,-0.543773402727776,0.886,0.926,6.71713450178919e-17,-0.04
"AC099489.1",3.69077275130329e-21,-0.933634519288313,0.883,0.918,7.3088372794059e-17,-0.035
"TBC1D22A",3.93139764913438e-21,-0.601192985331012,0.995,0.991,7.78534676458082e-17,0.004
"FBN3",4.52106391547743e-21,-0.803990504992066,0.769,0.855,8.95306287181995e-17,-0.086
"DHRSX",4.71181122595996e-21,-0.467671835194698,0.992,0.988,9.33079977076851e-17,0.004
"RHPN2",4.74652755918086e-21,-0.504029059754024,0.923,0.936,9.39954852544585e-17,-0.013
"MYH11",8.46684840780503e-21,-0.555465065887369,0.96,0.97,1.67668999019763e-16,-0.01
"TEX14",8.78275547571645e-21,-0.509893469576397,0.952,0.957,1.73924906685613e-16,-0.005
"RAB11FIP4",1.20629522854942e-20,-0.644425292050894,0.864,0.908,2.38882644109642e-16,-0.044
"SYN3",1.45933253712697e-20,-0.371823736451514,0.995,0.996,2.88991622327254e-16,-0.001
"ZAN",2.06735181052775e-20,-0.732810550719811,0.715,0.824,4.09397679038809e-16,-0.109
"GAS7",2.22554267121496e-20,-0.402268664396303,0.987,0.99,4.40724215180698e-16,-0.003
"NWD1",2.39491751118541e-20,-0.404420188729749,0.944,0.959,4.74265514740048e-16,-0.015
"TMCO4",2.45281774440893e-20,-0.360948199515768,0.92,0.954,4.857314979253e-16,-0.0339999999999999
"SUFU",2.57000588985452e-20,-0.791691613171118,0.957,0.966,5.0893826636789e-16,-0.00900000000000001
"DENND2A",2.76066900660442e-20,-0.62801980937026,0.931,0.955,5.46695283377873e-16,-0.0239999999999999
"COL23A1",3.36781794332588e-20,-0.555933118910861,0.984,0.985,6.66928987316825e-16,-0.001
"CCDC57",3.47960157494927e-20,-1.04493151275729,0.832,0.886,6.89065499887205e-16,-0.054
"RBFOX3",3.49992969538816e-20,-0.618516084609249,0.981,0.962,6.93091077577718e-16,0.019
"GNB1",3.71649610350641e-20,-0.341590326014458,0.957,0.968,7.35977723377373e-16,-0.011
"SCAMP5",3.71672211486567e-20,-0.722414895216245,0.806,0.879,7.36022480406849e-16,-0.073
"RAB11FIP3",4.84952385147228e-20,-0.45105536064202,0.822,0.883,9.60351208307056e-16,-0.061
"GSG1L",6.04063776622595e-20,-0.417519164904787,0.987,0.985,1.19622749684573e-15,0.002
"SNX29",6.8513243390089e-20,-0.256236997966091,0.997,0.998,1.35676775885393e-15,-0.001
"INSR",7.00483793096109e-20,-0.506034106339232,0.992,0.989,1.38716805546823e-15,0.003
"DOCK1",1.12387064608929e-19,-0.509949173484143,0.992,0.997,2.22560104045062e-15,-0.005
"EEF2K",1.19449687722772e-19,-0.695480213342352,0.872,0.926,2.36546216597406e-15,-0.054
"C16orf95",1.44647722892714e-19,-0.491049267950667,0.952,0.966,2.86445885644441e-15,-0.014
"DNMT1",1.50622086276499e-19,-0.503802224069318,0.92,0.938,2.98276917453351e-15,-0.0179999999999999
"MEGF11",1.54020936467254e-19,-0.264594061882185,0.981,0.988,3.05007660486103e-15,-0.00700000000000001
