"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PSMA5",0.0218633887948106,-0.567667246791556,0.764,0.721,1
"PIH1D2",0.0219210283123093,0.254491934804133,0.523,0.468,1
"MRFAP1L1",0.0219881603385189,-1.29091243026374,0.184,0.152,1
"FAM126B",0.0221808114578868,0.258349433489979,0.94,0.932,1
"NARS",0.0222125499974559,-0.506009067382981,0.711,0.665,1
"EMC3",0.0222363752404528,-0.277434768539338,0.797,0.756,1
"KLHL9",0.0222683530619314,-2.11756787506945,0.315,0.266,1
"C12orf29",0.0222747255613398,0.462066926409251,0.559,0.497,1
"GUF1",0.0225603374415685,-0.545802098647522,0.414,0.362,1
"TRNT1",0.0227410638592459,-0.418124763412828,0.626,0.572,1
"PDCD7",0.0227596123173462,-0.351893456249333,0.677,0.619,1
"CYB5A",0.0227661861283159,-0.439932132487284,0.769,0.75,1
"SRSF2",0.0229540698792917,-1.13428932471813,0.18,0.209,1
"NPHP3",0.0230614020643565,0.290319581048407,0.436,0.391,1
"CCNDBP1",0.0231351491147956,-0.687167275578283,0.481,0.437,1
"PGBD4",0.0231844263913759,-0.263743163104382,0.399,0.337,1
"ZNF107",0.0232376426679134,0.346406956552819,0.833,0.808,1
"RABGEF1",0.0233639543122018,-0.583068051777977,0.211,0.178,1
"HMGN2",0.0235155086443513,-0.619993153663139,0.245,0.202,1
"VPS26C",0.0235340324828286,-0.261327758402274,0.772,0.731,1
"OR5D3P",0.0235537363483685,0.561715014909235,0.246,0.209,1
"UBXN1",0.0236327881232191,-0.662540534492048,0.176,0.141,1
"DHX40",0.0237054567168547,-0.292126817996864,0.849,0.805,1
"GGPS1",0.0237173192331544,0.745517629591276,0.202,0.167,1
"ASAH1",0.0237208567467163,-0.597216540158446,0.804,0.75,1
"ZNF791",0.0237294864215389,0.71322110300096,0.542,0.478,1
"CNIH1",0.0237904572697624,0.442165936662285,0.612,0.556,1
"MT1G",0.0238382199264578,-0.270021334396759,0.247,0.203,1
"PPIL4",0.0239224474293326,-0.284587490049148,0.879,0.847,1
"SAT1",0.0239319272094583,0.43495535296017,0.35,0.305,1
"MYOT",0.0239460816188224,0.892689117915123,0.229,0.191,1
"MS4A4E",0.0241427286019195,0.346037498872313,0.195,0.161,1
