"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PALD1",5.20546447809548e-238,1.8169294490354,0.995,0.761,1.03083813059725e-233
"TENM4",2.70631749285229e-23,0.220409485372944,0.997,0.997,5.35932053109539e-19
"NHS",6.94547305294809e-23,0.304631955646709,0.986,0.981,1.37541202867531e-18
"SHROOM2",1.09162532454533e-21,0.523381181866706,0.941,0.898,2.16174563019711e-17
"CCDC120",1.98438815215128e-21,0.426813952543806,0.4,0.238,3.92968385770519e-17
"COL4A6",3.02703768777856e-20,0.322061364942377,0.987,0.979,5.99444273310789e-16
"ZNF185",3.46946153015831e-20,0.426489614163536,0.779,0.626,6.8705746681725e-16
"NHSL2",3.99576193165275e-20,0.30073127250534,0.981,0.971,7.91280735325195e-16
"GPSM1",3.7361091249923e-19,0.305256245909632,0.369,0.22,7.39861690022225e-15
"PLXNA2",3.74081873747497e-19,0.286061991332504,0.974,0.97,7.40794334582169e-15
"COL27A1",4.92965318655879e-19,0.658723720532694,0.902,0.859,9.76219220534237e-15
"PLAC1",5.22859065462666e-19,0.309364227843104,0.978,0.97,1.03541780733572e-14
"MAP3K15",7.75510105995376e-19,0.332889874010236,0.973,0.949,1.53574266290264e-14
"ZBTB7C",3.23544332179756e-18,0.345071146796864,0.991,0.989,6.4071484101557e-14
"COL13A1",3.92724268103805e-18,0.428065440464353,0.931,0.882,7.77711868125966e-14
"GPC3",5.04496780540964e-18,0.239542861904879,0.995,0.992,9.99054974505271e-14
"SDK2",5.24822590457507e-18,0.319069128125102,0.971,0.965,1.039306175883e-13
"EFHC2",7.60033747570518e-18,0.328440895166482,0.984,0.974,1.5050948303139e-13
"FSTL4",1.2921643934891e-17,0.312036510630673,0.992,0.99,2.55887314842646e-13
"SCN4B",1.38740935514607e-17,0.176941686133094,0.512,0.355,2.74748674599577e-13
"AFF2",1.87673084029511e-17,0.219467846578682,0.993,0.992,3.71649008303641e-13
"CCDC102A",2.75928171786007e-17,1.24932318316538,0.523,0.37,5.46420558587829e-13
"KLHL29",2.84948246302495e-17,0.339938777433325,0.973,0.966,5.64283012152832e-13
"CELF4",4.49444666512311e-17,0.348756213686118,0.96,0.947,8.9003527309433e-13
"THEM6",4.57949086923437e-17,0.0771837392156618,0.33,0.196,9.06876576834483e-13
"KDM6B",4.58041030412992e-17,0.339260972546576,0.273,0.149,9.07058652526848e-13
"ELF4",5.78968413820447e-17,0.817231795666502,0.698,0.564,1.14653114988863e-12
"BAG6",6.57941052176982e-17,0.36840203669269,0.456,0.305,1.30292066562608e-12
"MICAL2",7.18844775525073e-17,0.286647414986738,0.977,0.977,1.4235283089723e-12
"BOP1",7.67348029006372e-17,0.307318204454308,0.407,0.261,1.51957930184132e-12
"FRMD4A",8.37062894783448e-17,0.193683328967991,0.997,0.999,1.65763565053966e-12
"GLRA4",8.75625365250068e-17,0.571474714773039,0.543,0.389,1.73400091080471e-12
"CDH23",1.55463845936031e-16,0.27017907197759,0.976,0.971,3.07865054107122e-12
"TRAPPC9",1.75499034418135e-16,0.229965683629161,1,0.999,3.47540737858233e-12
"TMEM164",1.83726055047404e-16,0.372237165889344,0.982,0.964,3.63832706810375e-12
"TG",3.15480861028079e-16,0.294877159778932,0.973,0.969,6.24746749093904e-12
"PLEKHG2",3.3946978980317e-16,0.316830702573363,0.436,0.291,6.72252024747217e-12
"BMF",3.40882786037574e-16,0.587807287765118,0.489,0.343,6.75050181190209e-12
"TMEM92",3.73932022419497e-16,0.455008134524445,0.323,0.192,7.4049758399733e-12
"LRRC20",3.95562158001003e-16,0.409887015784569,0.895,0.839,7.83331741489387e-12
"ADAMTS17",4.60077392682794e-16,0.258520428098995,0.991,0.994,9.11091260729738e-12
"PDZD4",5.33892411918189e-16,0.953956714028639,0.481,0.335,1.05726714332159e-11
"BCOR",5.96155038140742e-16,0.295478210631161,0.879,0.774,1.18056582203011e-11
"OSGIN1",6.06873811794803e-16,0.971440206275985,0.365,0.229,1.20179220949725e-11
"GSE1",7.10119013946833e-16,0.437242196739059,0.96,0.961,1.40624868331891e-11
"SLC2A9",7.48345179142556e-16,0.307582906874227,0.985,0.983,1.481947958256e-11
"IQSEC2",7.70169281988847e-16,0.359465507174183,0.898,0.831,1.52516622912251e-11
"TRPC5",8.18518542667827e-16,0.278349373400293,0.986,0.985,1.6209122700451e-11
"PLXNB2",1.06122556572518e-15,0.159810396297312,0.388,0.251,2.10154498780556e-11
"GRIK4",1.07400100611139e-15,0.189226768716424,0.997,0.991,2.12684419240238e-11
"PRSS36",1.39515849900165e-15,0.144168261070369,0.341,0.211,2.76283237557296e-11
"ENDOV",1.54306873551235e-15,0.165232055364859,0.49,0.344,3.0557390169351e-11
"CASKIN2",1.73644442834076e-15,0.308848307023884,0.333,0.203,3.4386809014432e-11
"JAG2",1.80405199734176e-15,1.1864718440804,0.236,0.125,3.57256417033589e-11
"ZNF219",1.8891513773572e-15,0.437712532547163,0.267,0.151,3.74108647258045e-11
"ADAMTS2",1.99446591968425e-15,0.55212671601251,0.936,0.917,3.94964086075072e-11
"SH3RF3",2.12945171447648e-15,0.368381483748347,0.991,0.987,4.21695323017778e-11
"PKNOX2",2.16577002460038e-15,0.25986457060365,0.983,0.96,4.28887437971614e-11
"MIB2",2.19041491315172e-15,0.426333595333232,0.252,0.14,4.33767865251435e-11
"ASIC4",2.19595769436752e-15,0.980284092704392,0.443,0.3,4.348655022156e-11
"SLIT3",2.3947308115201e-15,0.180820719021657,0.997,0.994,4.74228542605324e-11
"COL5A1",2.40104259970998e-15,0.489584113144505,0.887,0.851,4.75478466020567e-11
