"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PALD1",5.1379413571777e-238,1.8169294490354,0.995,0.761,1.0174665269619e-233
"NHS",6.93755643055248e-23,0.304631955646709,0.986,0.981,1.37384429994231e-18
"SHROOM2",1.0904612602714e-21,0.523381181866706,0.941,0.898,2.15944043371545e-17
"CCDC120",1.98435405805076e-21,0.426813952543806,0.4,0.238,3.92961634115792e-17
"COL4A6",3.02410552472277e-20,0.322061364942377,0.987,0.979,5.98863617060851e-16
"ZNF185",3.46846195270622e-20,0.426489614163536,0.779,0.626,6.86859520494414e-16
"NHSL2",3.99153289604576e-20,0.30073127250534,0.981,0.971,7.90443259403941e-16
"GPSM1",3.73596284084629e-19,0.305256245909632,0.369,0.22,7.39832721372791e-15
"PLXNA2",3.73731948260087e-19,0.286061991332504,0.974,0.97,7.4010137713945e-15
"COL27A1",4.92519688976485e-19,0.658723720532694,0.902,0.859,9.75336740080134e-15
"PLAC1",5.22299514198735e-19,0.309364227843104,0.978,0.97,1.03430972796775e-14
"MAP3K15",7.74673365159011e-19,0.332889874010236,0.973,0.949,1.53408566502439e-14
"ZBTB7C",3.23300137577059e-18,0.345071146796864,0.991,0.989,6.4023126244385e-14
"COL13A1",3.9241689850529e-18,0.428065440464353,0.931,0.882,7.77103184110027e-14
"SDK2",5.24510340220629e-18,0.319069128125102,0.971,0.965,1.03868782673891e-13
"EFHC2",7.59299989498965e-18,0.328440895166482,0.984,0.974,1.5036417692048e-13
"FSTL4",1.29113149000854e-17,0.312036510630673,0.992,0.99,2.55682768966392e-13
"CCDC102A",2.7588505586772e-17,1.24932318316538,0.523,0.37,5.46335176134845e-13
"KLHL29",2.84745154028923e-17,0.339938777433325,0.973,0.966,5.63880828523477e-13
"CELF4",4.49224203645936e-17,0.348756213686118,0.96,0.947,8.89598690480046e-13
"KDM6B",4.5799723249014e-17,0.339260972546576,0.273,0.149,9.06971919500225e-13
"ELF4",5.78426036640591e-17,0.817231795666502,0.698,0.564,1.14545708035936e-12
"BAG6",6.57940279068373e-17,0.36840203669269,0.456,0.305,1.3029191346391e-12
"MICAL2",7.18214833185263e-17,0.286647414986738,0.977,0.977,1.42228083415678e-12
