"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MT-ND4L",8.21648785904333e-38,1.46792606263401,1,0.897,1.62711109072635e-33
"MT-ATP6",7.95191966644009e-15,1.15611607769371,0.986,0.94,1.57471865154513e-10
"MT-ND4",2.14085104026692e-12,1.16829205880389,0.993,0.989,4.23952731504058e-08
"MT-CO3",8.89348062325031e-12,1.09029131320419,0.964,0.942,1.76117596782226e-07
"MT-ND5",1.163566567561e-11,1.2493446119745,0.949,0.931,2.30421087374105e-07
"IDI2",1.8213307372019e-09,3.24346248040064,0.101,0.143,3.60678125888092e-05
"MT-ATP8",2.62925369712051e-09,1.08458836039459,0.797,0.691,5.20671109640774e-05
"MTRNR2L10",8.2817074934385e-09,0.907095145621343,0.783,0.552,0.000164002653492563
"MT-ND6",9.57454291505765e-09,1.27319464959027,0.877,0.784,0.000189604673346887
"MT-CO2",5.94281850919536e-08,0.930946287348836,0.971,0.969,0.00117685634937596
"MTRNR2L8",6.83035095725707e-08,0.961781649471549,0.768,0.62,0.00135261440006562
"MT-ND2",2.84483416191857e-07,0.959279466073938,0.978,0.973,0.00563362509084734
"MTRNR2L12",3.55223920343036e-07,0.67453960093216,0.877,0.706,0.00703449929455314
"CST2",6.6540664127667e-07,2.07919829752052,0.087,0.119,0.0131770477172019
"GBP5",7.52035431785271e-07,2.66627530192238,0.391,0.372,0.0148925576556437
"MT-ND1",1.08890259171062e-06,0.864851380639014,0.978,0.938,0.0215635380236455
"GIMAP7",1.128305402589e-06,3.92442793813405,0.341,0.256,0.02234383188747
"ASPHD1",1.24774977260357e-06,2.05534051142654,0.145,0.227,0.0247091887468685
"MT-ND3",1.4127970783707e-06,1.12874736276565,0.833,0.743,0.027977620542975
"NANOS1",1.92490067559299e-06,6.63594987261815,0.138,0.142,0.0381188080787679
"MT-CO1",3.00732526647749e-06,1.02358517445971,0.971,0.933,0.0595540622520537
"ST6GALNAC6",3.40572615514974e-06,3.51342576856836,0.087,0.105,0.0674435950504303
"DHFR",3.63240993039096e-06,0.553602135091302,0.913,0.839,0.0719326138515322
"KLHL33",5.45952069305549e-06,1.33017275861459,0.261,0.313,0.108114888284578
"MT-CYB",7.37329994199179e-06,1.04384913323937,0.957,0.934,0.146013458751263
"GOLGA6L7",8.11695503014568e-06,2.43620200239612,0.109,0.14,0.160740060461975
"RGS16",1.87326613291983e-05,1.99420200968387,0.138,0.203,0.370962892302115
"CCDC24",1.98118884249325e-05,3.88916195901521,0.051,0.106,0.392334826478938
"EOMES",2.59087378213624e-05,2.78852379342115,0.203,0.205,0.513070735076439
"PRR34",3.95115094911099e-05,3.99175052361198,0.065,0.108,0.78244642245245
"GPR83",4.47339162480238e-05,1.56553633354368,0.688,0.641,0.885865743459615
"PPP1R3D",5.14896901676688e-05,4.84805039321984,0.08,0.122,1
"SCAF1",6.65081002583295e-05,0.710368300824698,0.167,0.291,1
"SCYL1",0.000112443394477799,2.58717492503391,0.246,0.263,1
"DNALI1",0.000114123271490025,3.50959836473469,0.326,0.354,1
"POF1B",0.000154743288574481,0.198770196242536,0.993,0.913,1
"CDCA3",0.000200452633457625,3.7165732613756,0.196,0.188,1
"ATP5MF",0.00021921345169011,1.89060600654539,0.196,0.188,1
"TOX2",0.000226104615083576,0.200979576888931,0.993,0.958,1
"ANGPTL2",0.000234743777839441,3.04017720005258,0.21,0.213,1
"KLK7",0.000252136275666259,3.62046765049193,0.116,0.118,1
"VAX1",0.000265244383771973,2.20318744193153,0.196,0.202,1
"PIANP",0.000267046369113474,3.90928148142076,0.116,0.126,1
"ZDHHC22",0.00027241676359607,3.52024884214336,0.094,0.114,1
"TRNP1",0.000319838826471674,2.95802399418172,0.174,0.218,1
"OR5H1",0.000329379670546629,0.804796463030255,0.203,0.244,1
"UMAD1",0.000329639326748445,4.26702036693439,0.268,0.225,1
"PCDHGA7",0.000338152135953558,3.5921260889977,0.152,0.133,1
"STAC2",0.000352935201129724,0.907132690910877,0.188,0.278,1
"FAM205A",0.000361553441806813,3.51944629022331,0.304,0.235,1
"CALCRL",0.000492452932424189,2.12066911519118,0.493,0.371,1
"PLEKHJ1",0.000506834885609838,2.05338365349206,0.036,0.101,1
"THOC6",0.000507209036635961,4.93034248793994,0.094,0.101,1
"SLITRK6",0.000558991684246997,1.49614834851564,0.464,0.43,1
"ITLN1",0.000597533728450045,0.866753711269734,0.522,0.416,1
"RHOB",0.000619121186725743,1.66596856722404,0.181,0.209,1
"WFDC10A",0.000692754793737848,1.72086218553814,0.196,0.121,1
"CHST2",0.000743764008308193,3.49320232775337,0.13,0.115,1
"MBD3",0.000744172843684258,2.50965618464476,0.116,0.172,1
"PSMC3IP",0.00075749061366543,5.00572834549342,0.217,0.197,1
"AOX1",0.000811255155063971,0.862178878943209,0.993,0.934,1
"MAPK14",0.000826903074248847,0.541475395022767,1,0.954,1
"SMAGP",0.0010895895608907,3.99042466408814,0.239,0.197,1
"RS1",0.00110518750986029,1.72359478516211,0.594,0.498,1
"AC068775.1",0.00115178129466315,1.02715089571824,0.283,0.156,1
"CCNL2",0.00131898133610568,1.56571481656724,0.399,0.454,1
"BX072566.1",0.00136360392559918,1.28279688397568,0.283,0.16,1
"MAP10",0.0013654253731966,3.54919628491375,0.152,0.159,1
"AL049634.2",0.00137478390340285,3.59698159232576,0.283,0.307,1
"NRSN1",0.00145025832898305,2.47353283756337,0.746,0.72,1
"RNF128",0.00159057964712113,0.732435724565382,0.978,0.911,1
"AC010522.1",0.00169237687558368,2.70019029394622,0.181,0.191,1
"C1D",0.00172608887948751,0.598059855435506,0.935,0.911,1
"RBM27",0.00173879152514972,3.37994998393509,0.261,0.265,1
"CLEC4D",0.00174208639484199,0.373640664543313,0.522,0.38,1
"MTRNR2L1",0.00182165861735266,0.251212870373351,0.478,0.338,1
"MEST",0.00183316611120486,3.48003941178121,0.449,0.459,1
"ARHGEF9",0.00185270333660969,0.719947572884083,0.978,0.967,1
"NCF4",0.00185821278454796,4.59424888060099,0.29,0.268,1
"FAM199X",0.00187508283447445,1.32674397736815,0.819,0.698,1
"CXCR4",0.0018892112199538,3.56627789553777,0.167,0.134,1
"PPP1R37",0.00192303768216191,2.05632351695812,0.21,0.188,1
"ZNF547",0.00193655011902818,4.45960400935466,0.239,0.208,1
"SLAMF9",0.00193703747687151,2.50205946209396,0.152,0.15,1
"RPL10A",0.00196712271991028,1.54747607063094,0.174,0.197,1
"TCEAL5",0.00203224666696429,1.30024047830088,0.043,0.116,1
"NME1-NME2",0.00211553518142519,2.6288168042672,0.21,0.166,1
"IL1F10",0.00232316978348051,0.77817456386205,0.246,0.279,1
"DOCK11",0.00241468027198471,0.886150125240658,0.993,0.976,1
"SPHK2",0.00245728643338439,2.43785548389485,0.08,0.124,1
"KBTBD2",0.00253032484806751,2.58006675763815,0.717,0.703,1
"ABCA7",0.00255085272327254,1.52515827201201,0.312,0.334,1
"OR4M1",0.00260512864928256,0.928197044375678,0.377,0.244,1
"TMEM18",0.00268485524296795,2.08167796102595,0.138,0.23,1
"STAG2",0.00272192083483877,0.384854229719443,0.978,0.989,1
"PCP4",0.00278024304296793,1.1441664168879,0.935,0.855,1
"SIGMAR1",0.0028688924351314,2.51827687622332,0.058,0.116,1
"SPANXN4",0.00298654217852329,0.549866750333397,0.536,0.39,1
"PTCHD1",0.00309493842730268,0.624653102822897,0.906,0.864,1
"AMOT",0.00318112789756205,0.184149946587888,0.928,0.83,1
