"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","diff_pct"
"FTH1",2.22247463131949e-173,2.40296225487929,1,0.479,4.40116651240198e-169,0.521
"TMEM94",2.01736411025695e-13,0.903796327491951,0.718,0.81,3.99498614754184e-09,-0.0920000000000001
"DHX30",3.01607064867167e-13,0.622100349292745,0.734,0.818,5.97272470556451e-09,-0.084
"RUVBL2",1.00204483639916e-11,0.854419685973633,0.439,0.595,1.98434938952125e-07,-0.156
"LHPP",1.11083923592569e-10,0.534961311286075,0.84,0.893,2.19979493890365e-06,-0.053
"HAGH",1.96844507884547e-10,0.675189238680593,0.471,0.613,3.89811178963768e-06,-0.142
"COG4",2.10325661919555e-10,1.03754857907384,0.795,0.851,4.16507908299294e-06,-0.0559999999999999
"YPEL1",9.65431703153224e-10,0.739402587274834,0.625,0.715,1.91184440175433e-05,-0.09
"DNAJC5",1.2735187675411e-09,0.591175764568549,0.665,0.748,2.52194921536163e-05,-0.083
"MARCH2",1.94153072808299e-09,0.629006645022172,0.577,0.674,3.84481330082274e-05,-0.0970000000000001
"RUBCN",3.02316713170463e-09,0.557185043253354,0.872,0.891,5.98677787091468e-05,-0.019
"CAVIN1",3.19313945667e-09,1.77032408624978,0.396,0.527,6.3233740660436e-05,-0.131
"CHP1",3.54502242519196e-09,0.541263186517089,0.899,0.9,7.02020790860764e-05,-0.001
"TPCN1",3.64770313277388e-09,0.522381735156503,0.795,0.843,7.22354651383211e-05,-0.0479999999999999
"EPB41L1",7.49170314739481e-09,0.531261107886882,0.939,0.941,0.000148358197427859,-0.002
"ARNT2",1.00743282191378e-08,0.58074644368015,0.976,0.971,0.000199501921723587,0.005
"ANKLE2",1.02895261035283e-08,1.23252484673742,0.569,0.656,0.000203763485428171,-0.0870000000000001
"CHID1",1.04177562588385e-08,0.61326746600186,0.386,0.521,0.000206302827193779,-0.135
"YWHAE",1.1418927894319e-08,0.510283445669393,0.894,0.939,0.000226129029091199,-0.0449999999999999
"GABRA3",1.41429148522073e-08,0.619840045650536,0.992,0.983,0.000280072142818261,0.00900000000000001
"KLHDC4",1.47701417736134e-08,0.792781679005216,0.665,0.749,0.000292493117542865,-0.084
"DNAJC7",2.02861199433006e-08,0.717697288094354,0.798,0.852,0.000401726033237181,-0.0539999999999999
"PPP2R1A",2.75975834817899e-08,1.00052960891207,0.681,0.762,0.000546514945689886,-0.081
"GALNT6",3.31546682983558e-08,0.603538427642781,0.622,0.709,0.000656561896312341,-0.087
"RETREG3",3.45339654559375e-08,0.626078651179046,0.723,0.794,0.000683876117923931,-0.0710000000000001
"SLC30A3",4.0481896691048e-08,0.789492140031198,0.394,0.506,0.000801663000172823,-0.112
"ABHD12",5.7164674479185e-08,0.501321528831931,0.912,0.927,0.0011320320487113,-0.015
"TBC1D13",5.87289724750153e-08,0.560254216730357,0.481,0.594,0.00116300984192273,-0.113
"ARL3",6.93855518181084e-08,0.97274304510907,0.811,0.836,0.001374042082654,-0.0249999999999999
"DAPK3",7.16634538529001e-08,1.40145696048941,0.125,0.243,0.00141915137664898,-0.118
"DAP3",7.17036425009973e-08,0.56641723402131,0.87,0.896,0.00141994723244725,-0.026
"MFSD12",8.64800929037807e-08,1.3486729921202,0.332,0.466,0.00171256527977357,-0.134
"HBB",9.29533756571495e-08,0.97478747856105,0.529,0.391,0.00184075569813853,0.138
"PMM2",1.44344222520885e-07,0.621121818246141,0.806,0.852,0.00285844863858109,-0.0459999999999999
"SLC7A5",1.4712572055716e-07,0.836162865456661,0.343,0.452,0.00291353064419344,-0.109
"IFNGR2",1.60997291377789e-07,0.916778579814509,0.59,0.671,0.00318822936115436,-0.0810000000000001
"ZNF623",1.62193554180629e-07,0.770453562221598,0.529,0.617,0.00321191895343899,-0.088
"CFAP99",1.80798029634953e-07,0.613703323088947,0.41,0.507,0.00358034338086098,-0.097
"RSL1D1",2.60517626492942e-07,0.77984637861412,0.551,0.653,0.00515903055743973,-0.102
"CARS",3.42093057602521e-07,1.15917970794401,0.529,0.625,0.00677446881970273,-0.096
"TMEM230",3.63553217912335e-07,1.0696501161606,0.846,0.868,0.00719944437431796,-0.022
"VPS45",3.6879915932231e-07,0.569913434412104,0.934,0.958,0.00730332975205971,-0.0239999999999999
"ZFP14",4.99439094475678e-07,0.629335596922737,0.872,0.892,0.00989039238790185,-0.02
